threads,schedule,chunksize,run,limit,primes_count,time_s
4,unset,,1,400000000,21336326,85.5984
4,unset,,2,400000000,21336326,84.8907
2,unset,,1,400000000,21336326,133.466
2,unset,,2,400000000,21336326,136.322
1,unset,,1,400000000,21336326,234.41
1,unset,,2,400000000,21336326,237.233
4,unset,,3,400000000,21336326,85.815
4,unset,,4,400000000,21336326,84.6408
1,static,1,1,400000000,21336326,225.51
1,static,1,2,400000000,21336326,227.801
2,static,1,1,400000000,21336326,258.623
2,static,1,2,400000000,21336326,230.958
4,static,1,1,400000000,21336326,132.491
4,static,1,2,400000000,21336326,134.377
8,static,1,1,400000000,21336326,85.2366
8,static,1,2,400000000,21336326,86.5652
1,static,10,1,400000000,21336326,225.826
1,static,10,2,400000000,21336326,225.254
2,static,10,1,400000000,21336326,128.73
2,static,10,2,400000000,21336326,129.217
2,dynamic,1,1,400000000,21336326,134.466
2,dynamic,1,2,400000000,21336326,132.65
4,dynamic,1,1,400000000,21336326,83.7673
4,dynamic,1,2,400000000,21336326,87.545
8,dynamic,1,1,400000000,21336326,65.2904
8,dynamic,1,2,400000000,21336326,67.2686
4,dynamic,100,1,400000000,21336326,80.2687
4,dynamic,100,2,400000000,21336326,84.0966
4,guided,1,1,400000000,21336326,85.2906
4,guided,1,2,400000000,21336326,85.7342
4,guided,10,1,400000000,21336326,85.28
4,guided,10,2,400000000,21336326,84.9818
